"year","state_fips","stalt_unemployed_15_plus_weeks","stalt_job_losers","stalt_discouraged_workers","stalt_all_marginally_attached","stalt_involuntary_part_time_employed","stalt_civilian_labor_force","stalt_employed","stalt_unemployed","stalt_u1","stalt_u2","stalt_u3","stalt_u4","stalt_u5","stalt_u6"
2015,"20",24300,31900,3500,13200,46300,1494700,1430000,64800,1.6,2.1,4.3,4.6,5.2,8.2
2015,"21",38900,50900,6400,23000,74800,1946300,1840600,105800,2,2.6,5.4,5.7,6.5,10.3
2015,"22",48500,66900,12200,31300,77400,2166100,2031900,134300,2.2,3.1,6.2,6.7,7.5,11.1
2015,"23",11400,15200,2300,8400,28900,678300,648500,29800,1.7,2.2,4.4,4.7,5.6,9.8
2015,"24",81000,72100,11400,37000,96300,3179600,3014300,165300,2.5,2.3,5.2,5.5,6.3,9.3
2015,"25",83500,97900,11600,40600,135300,3586100,3410100,176000,2.3,2.7,4.9,5.2,6,9.7
2015,"26",112800,133000,23700,72900,221500,4762600,4504800,257800,2.4,2.8,5.4,5.9,6.8,11.4
2015,"27",35000,69100,9400,29500,105500,3024000,2909400,114600,1.2,2.3,3.8,4.1,4.7,8.2
2015,"28",35800,39400,6600,17800,51000,1281300,1198500,82800,2.8,3.1,6.5,6.9,7.7,11.7
2015,"29",46000,90800,11400,31200,105200,3106800,2951300,155500,1.5,2.9,5,5.4,5.9,9.3
2015,"30",7200,12100,1600,4400,21400,522500,501100,21400,1.4,2.3,4.1,4.4,4.9,9
2015,"31",9000,13500,1600,9600,27200,998800,968500,30300,0.9,1.3,3,3.2,4,6.7
2015,"32",42700,49900,7000,21900,81400,1429100,1330800,98300,3,3.5,6.9,7.3,8.3,13.9
2015,"33",9800,14200,1900,6200,28200,742500,716900,25600,1.3,1.9,3.4,3.7,4.2,8
2015,"34",143400,155900,20400,51100,165100,4544600,4280800,263800,3.2,3.4,5.8,6.2,6.9,10.4
2015,"35",26500,28700,4300,13800,41200,923900,861000,62800,2.9,3.1,6.8,7.2,8.2,12.6
