"year","fips","acs_median_rent_estimate","acs_median_rent_percent_household_income_estimate","acs_median_rent_moe","acs_median_rent_percent_household_income_moe"
2009,"42051",503,28.2,13,1.3
2009,"26023",608,29.2,26,2.5
2009,"53071",639,30.5,23,2.6
2009,"16015",713,26.5,138,7.8
2009,"56043",465,16.5,67,2
2009,"55113",492,27.6,29,3.9
2009,"53059",657,26.2,68,4.3
2009,"31061",598,20.5,76,2.9
2009,"30007",423,18.2,108,2.7
2009,"17081",526,28.9,31,3.1
2009,"19179",562,27.4,21,2.5
2009,"21191",615,28.5,54,4.8
2009,"26047",709,28.4,26,1.7
2009,"21059",544,26.8,16,1.8
2009,"19109",427,22.7,24,6.7
2009,"19171",545,23.6,50,2.1
2009,"17195",595,29.4,24,1.7
2009,"27031",589,21.4,84,4
2009,"01051",674,27,30,2.1
2009,"13215",693,30,15,1.2
2009,"13059",719,37.9,17,2.5
2009,"16069",571,27.4,19,2.5
2009,"40073",617,24.2,85,3.9
2009,"26151",581,32,27,1.6
2009,"22017",640,31.5,11,1.2
2009,"50003",689,28.8,16,1.5
2009,"30075",480,14.1,57,2
2009,"20005",530,24.1,66,4.1
2009,"01121",515,29.4,18,1.9
2009,"16067",476,22,29,1.7
2009,"27007",555,26.2,28,2
2009,"22101",558,27.3,25,1.7
2009,"54095",475,28.8,56,8
2009,"04017",602,23.3,34,1.3
2009,"28105",599,48.8,24,5.8
2009,"21183",483,26.3,29,2.6
2009,"05013",494,23.3,45,2.1
2009,"04021",810,29,40,1.1
2009,"55135",610,28.3,13,2
2009,"06055",1178,29.4,30,1.2
2009,"27075",614,28.1,144,3.3
2009,"26091",623,29.2,22,2.5
2009,"12053",828,31.4,36,3.8
2009,"27047",550,25.7,37,1.9
2009,"19161",443,23.6,33,3.8
2009,"24021",1084,27.7,28,1.1
2009,"24027",1302,27.9,18,0.9
2009,"13113",1001,30.6,46,2.6
2009,"08107",1051,29.2,135,2.7
2009,"13091",438,23.5,31,1.5
2009,"40057",475,31.9,84,7.2
2009,"31109",658,28.7,12,0.7
2009,"45083",610,27.6,10,0.8
2009,"05135",513,29.7,46,5.5
2009,"37015",529,38.1,41,4.7
2009,"28161",453,23.1,91,4.6
2009,"24009",1202,31.7,49,3.2
2009,"28103",445,44.6,66,10.7
2009,"17037",769,33.4,25,1.7
2009,"28027",562,36.3,25,4
2009,"22123",408,27.2,44,3.9
2009,"32027",645,20.2,179,5
2009,"28021",517,27.9,31,9.8
2009,"12133",564,42.3,43,7.7
2009,"28077",537,28.1,44,5.3
2009,"13141",619,37.4,80,6
